Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
MISO Wide,-,DEMREGMCP,13.48,13.14,15.61,18.06,17.64,17.6,14.28,13.32,9.93,6.18,7.09,7.19,6.83,6.49,6.95,5.86,6.14,8.92,8.09,5.66,7.05,7.01,9.6,6.96
MISO Wide,-,GENREGMCP,13.48,13.14,15.61,18.06,17.64,17.6,14.28,13.32,9.93,6.18,7.09,7.19,6.83,6.49,6.95,5.86,6.14,8.92,8.09,5.66,7.05,7.01,9.6,6.96
MISO Wide,-,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.15,.99,1.1,.76
MISO Wide,-,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.15,.99,1.1,.76
MISO Wide,-,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.6,.5,1.04,.76
MISO Wide,-,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.6,.5,1.04,.76
MISO Wide,-,SERREGMCP,13.48,13.14,15.61,18.06,17.64,17.6,14.28,13.32,9.93,6.18,7.09,7.19,6.83,6.49,6.95,5.86,6.14,8.92,8.09,5.66,7.05,7.01,9.6,6.96


Pnode,Zone,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
